Date,Time,Exercise,# of Reps,Weight,Notes
"2/19/20","22:19","Seated Calf Raise","20","60"
"2/19/20","22:12","Leg Press","10","100",""
"2/19/20","22:12","Leg Press","10","100"
"2/19/20","22:12","Leg Press","10","100"
"2/19/20","22:09","Leg Curl","10","120",""
"2/19/20","22:09","Leg Curl","10","120"
"2/19/20","22:09","Leg Curl","10","160"
"2/19/20","22:09","Leg Curl","10","160"
"2/19/20","22:05","Leg Extension","10","100",""
"2/19/20","22:05","Leg Extension","10","120"
"2/19/20","15:59","Cable Bicep Curl","10","70",""
"2/19/20","15:59","Cable Bicep Curl","10","70"
"2/19/20","15:59","Cable Bicep Curl","10","70"
"2/19/20","15:58","Cable Tricep Extension","10","70",""
"2/19/20","15:58","Cable Tricep Extension","10","70"
"2/19/20","15:58","Cable Tricep Extension","10","70"
"2/19/20","15:53","Cable External Rotation","10","70",""
"2/19/20","15:53","Cable External Rotation","10","70"
"2/19/20","15:53","Cable External Rotation","10","70"
"2/19/20","15:53","Cable Lat Stretch - Narrow Grip","10","70",""
"2/19/20","15:53","Cable Lat Stretch - Narrow Grip","10","70"
"2/19/20","15:53","Cable Lat Stretch - Narrow Grip","10","70"
"2/19/20","15:53","Cable Pulls","10","70",""
"2/19/20","15:53","Cable Pulls","10","70"
"2/19/20","15:53","Cable Pulls","10","70"
"2/19/20","15:53","Cable Push","10","70",""
"2/19/20","15:53","Cable Push","10","70"
"2/19/20","15:53","Cable Push","10","70"
"2/19/20","15:51","Cable Flyes","10","70",""
"2/19/20","15:51","Cable Flyes","10","70"
"2/19/20","15:51","Cable Flyes","10","70"
"2/19/20","15:51","Cable Internal Rotation","10","70",""
"2/19/20","15:51","Cable Internal Rotation","10","70"
"2/19/20","15:51","Cable Internal Rotation","10","70"
"2/18/20","17:06","One leg cobra","10","20",""
"2/18/20","17:05","Shoulder Press","4","40",""
"2/18/20","17:05","Upright Row","10","40",""
"2/18/20","17:04","Reverse Bicep Curls","8","40",""
"2/18/20","17:03","Front Lateral Raise","10","30",""
"2/18/20","17:02","Concentration Curls","14","25",""
"2/18/20","17:00","One-Arm Rows","20","35",""
"2/18/20","16:59","Triceps Extension","10","40",""
"2/18/20","16:59","Leg Raise","10","0",""
"2/18/20","16:59","Straight Arm Pullover","10","35",""
"2/18/20","16:54","bench reverse press","12","50",""
"2/18/20","16:53","One leg cobra","10","20",""
"2/18/20","16:52","Shoulder Press","4","40",""
"2/18/20","16:52","Upright Row","10","40",""
"2/18/20","16:51","Reverse Bicep Curls","8","40",""
"2/18/20","16:50","Front Lateral Raise","10","30",""
"2/18/20","16:49","Concentration Curls","14","25",""
"2/18/20","16:47","Triceps Extension","10","40",""
"2/18/20","16:47","Leg Raise","10","0",""
"2/18/20","16:47","Straight Arm Pullover","10","35",""
"2/18/20","16:47","One-Arm Rows","20","35",""
"2/18/20","16:41","bench reverse press","12","50",""
"2/18/20","16:40","Upright Row","8","40",""
"2/18/20","16:40","One leg cobra","10","30",""
"2/18/20","16:39","Shoulder Press","4","40",""
"2/18/20","16:38","Front Lateral Raise","10","30",""
"2/18/20","16:38","Reverse Bicep Curls","8","40",""
"2/18/20","16:36","Concentration Curls","16","25",""
"2/18/20","16:35","Straight Arm Pullover","10","35",""
"2/18/20","16:35","One-Arm Rows","24","35",""
"2/18/20","16:33","Leg Raise","10","0",""
"2/18/20","16:32","Triceps Extension","8","40",""
"2/18/20","16:31","bench reverse press","15","40",""
"2/18/20","15:50","Standing Side Bend","10","0",""
"2/18/20","15:50","Standing Crunch","10","0",""
"2/18/20","15:49","Standing Side Bend","10","0",""
"2/18/20","15:49","Standing Crunch","10","0",""
"2/18/20","15:49","Laying Elbow-back Lifts","10","0",""
"2/18/20","15:49","Laying Elbow-back Lifts","10","0"
"2/18/20","15:49","Laying Elbow-back Lifts","10","0"
"2/18/20","15:49","Laying Leg Lift And Hold","10","0",""
"2/18/20","15:49","Laying Leg Lift And Hold","10","0"
